시군구명,시군구_요리주점_수,평균월간검색량,평균블로그발행량,브랜드,시군구_프랜차이즈_요리주점_수,시군구면적,요리주점_밀도,경쟁강도지수,수요대비경쟁지수
강남구,1,30.0,474.0,금별맥주,6,79.02,0.07593014426727411,1,0.03225806451612903
강동구,2,70.0,247.0,금별맥주,8,49.18,0.16266775111834078,2,0.028169014084507043
강서구,7,20.0,167.71428571428572,금별맥주,12,82.89,0.14477017734346725,7,0.3333333333333333
고양시 덕양구,3,26.666666666666668,84.33333333333333,금별맥주,11,,,3,0.10843373493975904
고양시 일산동구,2,20.0,101.5,금별맥주,5,,,2,0.09523809523809523
관악구,1,20.0,90.0,금별맥주,9,59.14,0.15218126479540076,1,0.047619047619047616
광명시,1,90.0,522.99,금별맥주,5,231.13,0.02163284731536365,1,0.01098901098901099
광진구,1,20.0,118.0,금별맥주,7,34.12,0.20515826494724504,1,0.047619047619047616
구로구,3,20.0,56.0,금별맥주,10,40.24,0.24850894632206758,3,0.14285714285714285
군포시,2,20.0,33.0,금별맥주,7,218.52,0.032033681127585575,2,0.09523809523809523
김포시,4,97.5,240.52,금별맥주,12,1659.6,0.007230657989877079,4,0.04060913705583756
남양주시,1,30.0,126.99,금별맥주,11,2748.74,0.004001833567379963,1,0.03225806451612903
마포구,2,20.0,103.0,금별맥주,7,47.7,0.14675052410901468,2,0.09523809523809523
부천시 오정구,1,50.0,79.0,금별맥주,5,,,1,0.0196078431372549
부천시 원미구,4,22.5,150.7525,금별맥주,12,,,4,0.1702127659574468
서대문구,2,20.0,103.5,금별맥주,5,35.26,0.14180374361883155,2,0.09523809523809523
서초구,2,20.0,86.5,금별맥주,6,93.94,0.06387055567383436,2,0.09523809523809523
성남시 분당구,3,20.0,40.0,금별맥주,9,,,3,0.14285714285714285
성남시 중원구,1,20.0,52.0,금별맥주,3,,,1,0.047619047619047616
성동구,1,20.0,44.0,금별맥주,5,33.72,0.14827995255041518,1,0.047619047619047616
성북구,1,20.0,13.0,금별맥주,8,49.14,0.1628001628001628,1,0.047619047619047616
송파구,2,70.0,254.48,금별맥주,7,67.76,0.10330578512396693,2,0.028169014084507043
수원시 권선구,6,35.0,116.335,금별맥주,13,,,6,0.16666666666666666
수원시 영통구,3,20.0,592.0,금별맥주,9,,,3,0.14285714285714285
수원시 장안구,1,30.0,135.0,금별맥주,5,,,1,0.03225806451612903
수원시 팔달구,2,120.0,484.5,금별맥주,5,,,2,0.01652892561983471
시흥시,5,32.0,301.192,금별맥주,16,836.1,0.019136466929793088,5,0.15151515151515152
안산시 단원구,1,60.0,279.0,금별맥주,8,,,1,0.01639344262295082
안산시 상록구,1,20.0,160.0,금별맥주,3,,,1,0.047619047619047616
안양시 동안구,1,20.0,41.0,금별맥주,4,,,1,0.047619047619047616
안양시 만안구,1,20.0,284.0,금별맥주,3,,,1,0.047619047619047616
양천구,4,40.0,234.01,금별맥주,7,34.82,0.2010338885697875,4,0.0975609756097561
영등포구,3,20.0,28.666666666666668,금별맥주,12,49.1,0.24439918533604887,3,0.14285714285714285
오산시,2,30.0,89.5,금별맥주,6,256.2,0.0234192037470726,2,0.06451612903225806
용인시 기흥구,3,33.333333333333336,77.67,금별맥주,9,,,3,0.08737864077669902
용인시 수지구,1,20.0,60.0,금별맥주,3,,,1,0.047619047619047616
용인시 처인구,1,20.0,75.0,금별맥주,7,,,1,0.047619047619047616
은평구,3,20.0,44.666666666666664,금별맥주,6,59.41,0.100993098804915,3,0.14285714285714285
의정부시,1,20.0,82.0,금별맥주,8,489.27,0.016350890101579904,1,0.047619047619047616
이천시,1,30.0,53.01,금별맥주,3,2768.95,0.0010834431824337746,1,0.03225806451612903
종로구,2,40.0,95.5,금별맥주,4,47.82,0.0836470096194061,2,0.04878048780487805
중구,1,20.0,32.0,금별맥주,5,19.92,0.251004016064257,1,0.047619047619047616
중랑구,1,20.0,86.0,금별맥주,6,37.0,0.16216216216216217,1,0.047619047619047616
파주시,5,20.0,34.4,금별맥주,11,4043.44,0.0027204558494747046,5,0.23809523809523808
평택시,2,20.0,30.0,금별맥주,16,2749.9,0.005818393396123495,2,0.09523809523809523
화성시,5,20.0,31.4,금별맥주,20,4201.64,0.004760046077246028,5,0.23809523809523808
가평군,1,20.0,71.0,역전할머니,1,5059.62,0.00019764330127558988,1,0.047619047619047616
강남구,5,20.0,428.8,역전할머니,6,79.02,0.07593014426727411,5,0.23809523809523808
강동구,6,20.0,212.16666666666666,역전할머니,8,49.18,0.16266775111834078,6,0.2857142857142857
강북구,3,20.0,129.33333333333334,역전할머니,3,47.2,0.0635593220338983,3,0.14285714285714285
강서구,5,20.0,206.2,역전할머니,12,82.89,0.14477017734346725,5,0.23809523809523808
고양시 덕양구,8,20.0,95.25,역전할머니,11,,,8,0.38095238095238093
고양시 일산동구,3,20.0,127.33333333333333,역전할머니,5,,,3,0.14285714285714285
고양시 일산서구,5,20.0,107.2,역전할머니,5,,,5,0.23809523809523808
관악구,8,20.0,263.875,역전할머니,9,59.14,0.15218126479540076,8,0.38095238095238093
광명시,4,20.0,86.0,역전할머니,5,231.13,0.02163284731536365,4,0.19047619047619047
광주시,8,25.0,201.6225,역전할머니,8,2585.94,0.003093652598281476,8,0.3076923076923077
광진구,6,20.0,203.5,역전할머니,7,34.12,0.20515826494724504,6,0.2857142857142857
구로구,7,20.0,161.57142857142858,역전할머니,10,40.24,0.24850894632206758,7,0.3333333333333333
구리시,3,20.0,127.0,역전할머니,3,200.0,0.015,3,0.14285714285714285
군포시,5,20.0,77.6,역전할머니,7,218.52,0.032033681127585575,5,0.23809523809523808
금천구,6,20.0,187.0,역전할머니,6,26.04,0.2304147465437788,6,0.2857142857142857
김포시,8,45.0,161.375,역전할머니,12,1659.6,0.007230657989877079,8,0.17391304347826086
남양주시,10,20.0,92.2,역전할머니,11,2748.74,0.004001833567379963,10,0.47619047619047616
노원구,4,20.0,167.0,역전할머니,4,70.88,0.05643340857787811,4,0.19047619047619047
도봉구,4,20.0,129.5,역전할머니,4,41.3,0.09685230024213076,4,0.19047619047619047
동대문구,2,20.0,196.5,역전할머니,2,28.43,0.07034822370735139,2,0.09523809523809523
동두천시,1,20.0,26.0,역전할머니,1,574.02,0.0017420995784119021,1,0.047619047619047616
동작구,8,21.25,145.50125,역전할머니,8,32.7,0.24464831804281342,8,0.3595505617977528
마포구,5,20.0,283.8,역전할머니,7,47.7,0.14675052410901468,5,0.23809523809523808
부천시 소사구,3,20.0,70.33333333333333,역전할머니,3,,,3,0.14285714285714285
부천시 오정구,4,20.0,58.75,역전할머니,5,,,4,0.19047619047619047
부천시 원미구,8,45.0,653.0074999999999,역전할머니,12,,,8,0.17391304347826086
서대문구,3,20.0,146.33333333333334,역전할머니,5,35.26,0.14180374361883155,3,0.14285714285714285
서초구,4,20.0,265.0,역전할머니,6,93.94,0.06387055567383436,4,0.19047619047619047
성남시 분당구,6,20.0,100.66666666666667,역전할머니,9,,,6,0.2857142857142857
성남시 수정구,5,20.0,97.8,역전할머니,5,,,5,0.23809523809523808
성남시 중원구,2,20.0,167.0,역전할머니,3,,,2,0.09523809523809523
성동구,4,20.0,84.25,역전할머니,5,33.72,0.14827995255041518,4,0.19047619047619047
성북구,7,20.0,62.142857142857146,역전할머니,8,49.14,0.1628001628001628,7,0.3333333333333333
송파구,5,22.0,218.998,역전할머니,7,67.76,0.10330578512396693,5,0.21739130434782608
수원시 권선구,7,25.714285714285715,137.0,역전할머니,13,,,7,0.2620320855614973
수원시 영통구,6,23.333333333333332,118.49666666666667,역전할머니,9,,,6,0.24657534246575344
수원시 장안구,4,20.0,195.0,역전할머니,5,,,4,0.19047619047619047
수원시 팔달구,3,30.0,454.0,역전할머니,5,,,3,0.0967741935483871
시흥시,11,20.0,160.0909090909091,역전할머니,16,836.1,0.019136466929793088,11,0.5238095238095238
안산시 단원구,7,27.142857142857142,196.85714285714286,역전할머니,8,,,7,0.24873096446700507
안산시 상록구,2,20.0,163.5,역전할머니,3,,,2,0.09523809523809523
안성시,2,20.0,50.0,역전할머니,2,3321.08,0.0006022137376997844,2,0.09523809523809523
안양시 동안구,3,20.0,118.33333333333333,역전할머니,4,,,3,0.14285714285714285
안양시 만안구,2,20.0,83.5,역전할머니,3,,,2,0.09523809523809523
양주시,3,20.0,101.66666666666667,역전할머니,3,1862.7,0.0016105653084232566,3,0.14285714285714285
양천구,3,20.0,732.6666666666666,역전할머니,7,34.82,0.2010338885697875,3,0.14285714285714285
양평군,1,20.0,76.0,역전할머니,1,5267.02,0.00018986068023284512,1,0.047619047619047616
여주시,1,20.0,16.0,역전할머니,1,3649.39,0.00027401839759521457,1,0.047619047619047616
영등포구,9,20.0,133.55555555555554,역전할머니,12,49.1,0.24439918533604887,9,0.42857142857142855
오산시,4,20.0,115.75,역전할머니,6,256.2,0.0234192037470726,4,0.19047619047619047
용산구,4,20.0,305.25,역전할머니,4,43.74,0.09144947416552354,4,0.19047619047619047
용인시 기흥구,6,20.0,65.5,역전할머니,9,,,6,0.2857142857142857
용인시 수지구,2,20.0,80.5,역전할머니,3,,,2,0.09523809523809523
용인시 처인구,6,20.0,70.5,역전할머니,7,,,6,0.2857142857142857
은평구,3,20.0,114.66666666666667,역전할머니,6,59.41,0.100993098804915,3,0.14285714285714285
의왕시,2,20.0,93.0,역전할머니,2,324.18,0.006169412055031156,2,0.09523809523809523
의정부시,7,20.0,167.28571428571428,역전할머니,8,489.27,0.016350890101579904,7,0.3333333333333333
이천시,2,20.0,118.5,역전할머니,3,2768.95,0.0010834431824337746,2,0.09523809523809523
종로구,2,20.0,76.0,역전할머니,4,47.82,0.0836470096194061,2,0.09523809523809523
중구,4,20.0,269.75,역전할머니,5,19.92,0.251004016064257,4,0.19047619047619047
중랑구,5,20.0,122.6,역전할머니,6,37.0,0.16216216216216217,5,0.23809523809523808
파주시,6,20.0,65.83333333333333,역전할머니,11,4043.44,0.0027204558494747046,6,0.2857142857142857
평택시,14,20.0,88.78571428571429,역전할머니,16,2749.9,0.005818393396123495,14,0.6666666666666666
포천시,1,20.0,66.0,역전할머니,1,4962.4800000000005,0.0002015121471522303,1,0.047619047619047616
하남시,4,20.0,57.5,역전할머니,4,557.9399999999999,0.007169229666272359,4,0.19047619047619047
화성시,15,20.0,93.2,역전할머니,20,4201.64,0.004760046077246028,15,0.7142857142857143
